Node Contaminant;Jumlah Sensor;Algorithm;Sensor Placement;Score
9;2;Greedy+ev+bw;[1, 2];[1.0, 0.0]
9;2;Greedy;[11, 39];[1.0, 0.9836065573770492]
9;3;Greedy+ev+bw;[1, 2, 3];[1.0, 0.0, 0.0]
9;3;Greedy;[11, 39, 1];[1.0, 0.9836065573770492, 0.0]
9;4;Greedy+ev+bw;[1, 2, 3];[1.0, 0.0, 0.0]
9;4;Greedy;[11, 39, 1, 2];[1.0, 0.9836065573770492, 0.0, 0.0]
9;5;Greedy+ev+bw;[1, 2, 3];[1.0, 0.0, 0.0]
9;5;Greedy;[11, 39, 1, 2, 3];[1.0, 0.9836065573770492, 0.0, 0.0, 0.0]
10;2;Greedy+ev+bw;[1, 2];[1.0, 0.0]
10;2;Greedy;[21, 3];[1.0, 0.9672131147540983]
10;3;Greedy+ev+bw;[1, 2, 3];[1.0, 0.0, 0.0]
10;3;Greedy;[21, 3, 16];[1.0, 0.9672131147540983, 0.9672131147540983]
10;4;Greedy+ev+bw;[1, 2, 3, 4];[1.0, 0.0, 0.0, 0.0]
10;4;Greedy;[21, 3, 16, 17];[1.0, 0.9672131147540983, 0.9672131147540983, 0.9672131147540983]
10;5;Greedy+ev+bw;[1, 2, 3, 4, 5];[1.0, 0.0, 0.0, 0.0, 0.0]
10;5;Greedy;[21, 3, 16, 17, 20];[1.0, 0.9672131147540983, 0.9672131147540983, 0.9672131147540983, 0.9672131147540983]
11;2;Greedy+ev+bw;[1, 2];[1.0, 0.0]
11;2;Greedy;[27, 4];[1.0, 0.9672131147540983]
11;3;Greedy+ev+bw;[1, 2, 3];[1.0, 0.0, 0.0]
11;3;Greedy;[27, 4, 17];[1.0, 0.9672131147540983, 0.9672131147540983]
11;4;Greedy+ev+bw;[1, 2, 3, 4];[1.0, 0.0, 0.0, 0.0]
11;4;Greedy;[27, 4, 17, 18];[1.0, 0.9672131147540983, 0.9672131147540983, 0.9672131147540983]
11;5;Greedy+ev+bw;[1, 2, 3, 4, 5];[1.0, 0.0, 0.0, 0.0, 0.0]
