Node Contaminant;Jumlah Sensor;Algorithm;Sensor Placement;Score
26;2;Greedy;[29, 30];[1.0, 0.9833333333333333]
26;2;Greedy+ev+bw;[1, 2];[1.0, 0.1249995735464071]
26;2;Heurastic:Greedy+ev+bw;[1, 2];[1.0, 0.1249995735464071]
27;2;Greedy;[49, 24];[1.0, 0.9672131147540983]
27;2;Greedy+ev+bw;[1, 2];[1.0, 0.09805846327540517]
27;2;Heurastic:Greedy+ev+bw;[1, 2];[1.0, 0.09805846327540517]
28;2;Greedy;[10, 1];[1.0, 0.0]
28;2;Greedy+ev+bw;[1, 2];[0.0, 0.0]
28;2;Heurastic:Greedy+ev+bw;[1, 2];[0.0, 0.0]
29;2;Greedy;[50, 38];[1.0, 0.9672131147540983]
29;2;Greedy+ev+bw;[1, 2];[1.0, 0.2886750555144338]
29;2;Heurastic:Greedy+ev+bw;[1, 2];[1.0, 0.2886750555144338]
30;2;Greedy;[38, 1];[1.0, 0.0]
30;2;Greedy+ev+bw;[1, 2];[0.0, 0.0]
30;2;Heurastic:Greedy+ev+bw;[1, 2];[0.0, 0.0]
31;2;Greedy;[15, 16];[1.0, 0.9833333333333333]
31;2;Greedy+ev+bw;[1, 2];[1.0, 0.07001443752427008]
31;2;Heurastic:Greedy+ev+bw;[1, 2];[1.0, 0.07001443752427008]
32;2;Greedy;[23, 24];[1.0, 0.9833333333333333]
32;2;Greedy+ev+bw;[1, 2];[1.0, 0.09622470671533317]
32;2;Heurastic:Greedy+ev+bw;[1, 2];[1.0, 0.09622470671533317]
33;2;Greedy;[51, 52];[1.0, 0.9836065573770492]
33;2;Greedy+ev+bw;[1, 2];[1.0, 0.1290991656535201]
33;2;Heurastic:Greedy+ev+bw;[1, 2];[1.0, 0.1290991656535201]
34;2;Greedy;[53, 38];[1.0, 0.9672131147540983]
34;2;Greedy+ev+bw;[1, 2];[1.0, 0.11470816695065493]
34;2;Heurastic:Greedy+ev+bw;[1, 2];[1.0, 0.11470816695065493]
35;2;Greedy;[56, 55];[1.0, 0.01639344262295082]
35;2;Greedy+ev+bw;[1, 2];[1.0, 0.35355348169418527]
35;2;Heurastic:Greedy+ev+bw;[1, 2];[1.0, 0.35355348169418527]
36;2;Greedy;[12, 57];[1.0, 0.9836065573770492]
36;2;Greedy+ev+bw;[1, 2];[1.0, 0.22360703812316718]
36;2;Heurastic:Greedy+ev+bw;[1, 2];[1.0, 0.22360703812316718]
37;2;Greedy;[1, 2];[1.0, 1.0]
37;2;Greedy+ev+bw;[1, 2];[1.0, 0.06198533120091212]
37;2;Heurastic:Greedy+ev+bw;[1, 2];[1.0, 0.06198533120091212]
